,tmk,em49
2010-11-05 12:00:00.975,5.5551,0.0000
2010-11-05 12:00:03.025,5.9745,0.0000
2010-11-05 12:00:05.071,6.7229,0.0000
2010-11-05 12:00:07.118,6.7586,0.0000
2010-11-05 12:00:09.168,6.3946,0.0000
2010-11-05 12:00:11.215,6.7229,0.0000
2010-11-05 12:00:13.265,6.7229,0.0000
2010-11-05 12:00:15.311,6.7586,0.0000
2010-11-05 12:00:17.358,6.3613,0.0000
2010-11-05 12:00:19.401,6.3946,0.0000
2010-11-05 12:00:21.451,6.7229,0.0000
2010-11-05 12:00:23.498,6.3946,0.0000
2010-11-05 12:00:25.545,6.3946,0.0000
2010-11-05 12:00:27.595,5.9442,0.0000
2010-11-05 12:00:29.641,7.1030,0.0000
2010-11-05 12:00:31.691,6.6879,0.0000
2010-11-05 12:00:33.738,6.3613,0.0000
2010-11-05 12:00:35.785,6.3946,0.0000
2010-11-05 12:00:37.835,6.2966,0.0000
2010-11-05 12:00:39.881,6.2651,0.0000
2010-11-05 12:00:41.931,6.3287,0.0000
2010-11-05 12:00:43.978,6.7229,0.0000
2010-11-05 12:00:46.025,7.0650,0.0000
2010-11-05 12:00:48.075,6.3287,0.0000
2010-11-05 12:00:50.121,6.6535,0.0000
2010-11-05 12:00:52.168,6.6879,0.0000
2010-11-05 12:00:54.218,6.7229,0.0000
2010-11-05 12:00:56.265,7.0277,0.0000
2010-11-05 12:00:58.315,6.6879,0.0000
2010-11-05 12:01:00.361,6.6879,0.0000
2010-11-05 12:01:02.408,6.7229,0.0000
2010-11-05 12:01:04.458,5.5274,0.0000
2010-11-05 12:01:06.505,5.5274,0.0000
2010-11-05 12:01:08.555,5.5274,0.0000
2010-11-05 12:01:10.601,4.5700,0.0000
2010-11-05 12:01:12.648,4.5484,0.0000
2010-11-05 12:01:14.698,5.5002,0.0000
2010-11-05 12:01:16.745,5.5274,0.0000
2010-11-05 12:01:18.795,5.0426,0.0000
2010-11-05 12:01:20.841,3.9292,0.0000
2010-11-05 12:01:22.888,3.1990,0.0000
2010-11-05 12:01:24.938,3.9292,0.0000
2010-11-05 12:01:26.985,3.9292,0.0000
2010-11-05 12:01:29.035,4.5272,0.0000
2010-11-05 12:01:31.081,3.9123,0.0000
2010-11-05 12:01:33.128,3.1869,0.0000
2010-11-05 12:01:35.178,3.9292,0.0000
2010-11-05 12:01:37.225,3.9465,0.0000
2010-11-05 12:01:39.275,3.1749,0.0000
2010-11-05 12:01:41.321,1.9372,0.0000
2010-11-05 12:01:43.368,3.1749,0.0000
2010-11-05 12:01:45.418,4.5272,0.0000
2010-11-05 12:01:47.465,3.9292,0.0000
2010-11-05 12:01:49.515,3.9123,0.0000
2010-11-05 12:01:51.561,3.9123,0.0000
2010-11-05 12:01:53.608,3.1749,0.0000
2010-11-05 12:01:55.658,3.1869,0.0000
2010-11-05 12:01:57.705,3.8957,0.0000
2010-11-05 12:01:59.751,3.9465,0.0000
2010-11-05 12:02:01.801,3.8633,0.0000
2010-11-05 12:02:03.848,3.1632,0.0000
2010-11-05 12:02:05.895,3.1632,0.0000
2010-11-05 12:02:07.945,3.8957,0.0000
2010-11-05 12:02:09.991,4.9949,0.0000
2010-11-05 12:02:12.041,4.5064,0.0000
2010-11-05 12:02:14.088,5.4734,0.0000
2010-11-05 12:02:16.135,4.4860,0.0000
2010-11-05 12:02:18.185,4.4860,0.0000
2010-11-05 12:02:20.231,5.0185,0.0000
2010-11-05 12:02:22.281,4.4659,0.0000
2010-11-05 12:02:24.328,5.4734,0.0000
2010-11-05 12:02:26.375,4.9949,0.0000
2010-11-05 12:02:28.425,4.9949,0.0000
2010-11-05 12:02:30.471,5.0185,0.0000
2010-11-05 12:02:32.521,4.9490,0.0000
2010-11-05 12:02:34.568,4.4659,0.0000
2010-11-05 12:02:36.615,5.0185,0.0000
2010-11-05 12:02:38.665,4.9717,0.0000
2010-11-05 12:02:40.711,4.5272,0.0000
2010-11-05 12:02:42.761,5.4734,0.0000
